Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Status
xp8434-11-oz-white-mug,XP8434 11 oz. White Mug,"<p> </p>
<ul>
<li>High quality white gloss 11oz ceramic mug</li>
<li>Dishwasher safe &amp; Microwave safe</li>
<li>Top-to-bottom full wrap dye sublimation</li>
<li>AAA Orca Coating™ for maximum print vibrancy</li>
<li>Decoration Method: Sublimation</li>
</ul>",CustomCat,,Drinkware,"Drinkware, Housewares, Mugs",false,Title,Default Title,,,,,1005-9786-102064101-47417,430.9127515,,continue,customcat,14.70,,true,true,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_b1b449e8-3e37-474e-8d4e-477baa0b2dba.png?v=1685000379,1,,false,,,,,,,,,,,,,,,lb,,,true,true,,,true,,,active
sweater-sample,Custom Knitted Pet Face Sweater,"Jacquard crew neck knitted sweater
Cozy and soft sweater knitted
Lightweight and breathable with superb workmanship
A standard classic fit sweater",Knitwise,,"","",false,Color,Taupe,Size,Unisex XS,,,kwp_6193e2a58160c3ee,0.0,,deny,knitwise-dropshipping,128.00,,true,true,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/898bc1864c131e46240f6215bd4c74d3.jpg?v=1684853050,1,,false,,,,,,,,,,,,,,,lb,,70.00,true,true,,,true,,,draft
sweater-sample,,,,,,,,,Taupe,,Unisex S,,,kwp_6e122c52cc7b2ef7,0.0,,deny,knitwise-dropshipping,128.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,70.00,,,,,,,,
sweater-sample,,,,,,,,,Taupe,,Unisex M,,,kwp_ca1e7524bc5a7bdc,0.0,,deny,knitwise-dropshipping,128.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,70.00,,,,,,,,
sweater-sample,,,,,,,,,Taupe,,Unisex L,,,kwp_51ac4110a8295bdb,0.0,,deny,knitwise-dropshipping,128.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,70.00,,,,,,,,
sweater-sample,,,,,,,,,Taupe,,Unisex XL,,,kwp_1780621217d12b10,0.0,,deny,knitwise-dropshipping,128.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,70.00,,,,,,,,
sweater-sample,,,,,,,,,Taupe,,Unisex 2XL,,,kwp_59c5294e86c4324e,0.0,,deny,knitwise-dropshipping,128.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,70.00,,,,,,,,
sweater-sample,,,,,,,,,Taupe,,Unisex 3XL,,,kwp_4ecb98a42205026a,0.0,,deny,knitwise-dropshipping,128.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,70.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,Limited Edition Best Dog Dad Sweatshirt,"<p>Introducing our Limited Edition Best Dog Dad Sweatshirt, designed exclusively for the coolest canine-loving dads out there! Made from premium, cuddly-worthy fabric, this sweatshirt guarantees maximum comfort for all your belly rub marathons, and fetch challenges.</p>
<p>*Sweatshirt is printed with a vintage-inspired, distressed design.<br></p>
<ul>
<li>50% cotton, 50% polyester</li>
<li>Air jet yarn for a softer feel and no pilling</li>
<li>1x1 athletic rib cuffs and waistband with spandex; Double-needle stitching</li>
<li>Premium side seam cut</li>
</ul>
<p><meta charset=""utf-8"">This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!</p>
<p style=""margin: 0px 0px 1rem; color: #1f2124; font-family: -apple-system, 'system-ui', 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px;""><br><span style=""font-size: 0.875rem;""><strong>Size Chart</strong></span></p>
<p style=""margin: 0px; color: #1f2124; font-family: -apple-system, 'system-ui', 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px;""><span style=""font-size: 0.875rem;""><strong><img style=""margin: 0px 0px 1rem;"" src=""https://cdn.shopify.com/s/files/1/0582/8552/3124/files/Screenshot2023-05-17at1.39.15PM_480x480.png?v=1684355981"" alt=""""></strong></span></p>
<p><br></p>",Alpha Paw Prints,Apparel & Accessories > Clothing > Shirts & Tops,"","best-seller, clearance, dropship, growaov-collection, Men, pawpals, pet-parents, Pullover, Sweatshirts",true,Color,Royal,Size,S,,,1289-13427-101928850-59414,360.60593415,,continue,customcat,29.00,49.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-royal-front-64654177d9bee.png?v=1684510804,1,Limited Edition Best Dog Dad Sweatshirt | Alpha Paw,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-royal-front-64654177d9bee.png?v=1684510804,lb,,18.00,true,true,,,true,,,active
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Royal,,M,,,1289-13427-101928850-59415,408.233133,,continue,customcat,29.00,49.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-navy-front-6465404c3b04a.png?v=1684510809,2,Limited Edition Best Dog Dad Sweatshirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-royal-front-64654177d9bee.png?v=1684510804,lb,,18.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Royal,,2XL,,,1289-13427-101928850-59416,531.837053825,,continue,customcat,31.00,49.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-red-front-6465404c3b570.png?v=1684510814,3,Limited Edition Best Dog Dad Sweatshirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-royal-front-64654177d9bee.png?v=1684510804,lb,,21.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Royal,,3XL,,,1289-13427-101928850-59417,712.1400209,,continue,customcat,32.00,49.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-dark-heather-front-64654257becc6.png?v=1684510817,4,Limited Edition Best Dog Dad Sweatshirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-royal-front-64654177d9bee.png?v=1684510804,lb,,21.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Navy,,S,,,1289-13425-101928850-59408,360.60593415,,continue,customcat,29.00,49.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_1efa6f3c-94b4-49a4-a759-38beedfa44e6.png?v=1684510822,5,Limited Edition Best Dog Dad Sweatshirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-navy-front-6465404c3b04a.png?v=1684510809,lb,,18.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Navy,,M,,,1289-13425-101928850-59409,408.233133,,continue,customcat,29.00,49.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_470d42d4-ef0f-484a-8776-ba48b1d1237e.png?v=1684510826,6,Limited Edition Best Dog Dad Sweatshirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-navy-front-6465404c3b04a.png?v=1684510809,lb,,18.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Red,,S,,,1289-13426-101928850-59411,360.60593415,,continue,customcat,29.00,49.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_fc393079-b740-4765-9c70-b260ab5d809c.png?v=1684510830,7,Limited Edition Best Dog Dad Sweatshirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-red-front-6465404c3b570.png?v=1684510814,lb,,18.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Red,,M,,,1289-13426-101928850-59412,408.233133,,continue,customcat,29.00,49.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_10f394a4-7207-40bc-a278-c38765336d5d.png?v=1684510834,8,Limited Edition Best Dog Dad Sweatshirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-red-front-6465404c3b570.png?v=1684510814,lb,,18.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Red,,L,,,1289-13426-101928850-59413,461.802391897,,deny,customcat,29.00,49.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_ab181f3a-3682-455e-88c2-20b48f693121.png?v=1684510838,9,Limited Edition Best Dog Dad Sweatshirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-red-front-6465404c3b570.png?v=1684510814,lb,,18.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Dark Heather,,S,,,1289-13424-101928850-59404,360.60593415,,continue,customcat,29.00,49.99,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-dark-heather-front-64654257becc6.png?v=1684510817,lb,,18.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Dark Heather,,M,,,1289-13424-101928850-59405,408.233133,,continue,customcat,29.00,49.99,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-dark-heather-front-64654257becc6.png?v=1684510817,lb,,18.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Dark Heather,,3XL,,,1289-13424-101928850-59407,563.225645829,,continue,customcat,29.00,49.99,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/unisex-crew-neck-sweatshirt-dark-heather-front-64654257becc6.png?v=1684510817,lb,,21.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Ash,,S,,,1289-13422-101928850-59400,365.414013272,,continue,customcat,29.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_1efa6f3c-94b4-49a4-a759-38beedfa44e6.png?v=1684510822,lb,,18.00,,,,,,,,
limited-edition-best-dog-dad-sweatshirt,,,,,,,,,Ash,,3XL,,,1289-13422-101928850-59401,365.414013272,,continue,customcat,32.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_1efa6f3c-94b4-49a4-a759-38beedfa44e6.png?v=1684510822,lb,,21.00,,,,,,,,
cat-dad-tshirt,Cat Dad T-Shirt,"<p>Attention all Cat Dads!</p>
<p>It's time to show off your feline pride. Designed to be super comfy, it's purrfect for wearing to any occasion or lounging around the house with your kitty.</p>
<ul>
<li>Made with sustainably &amp; fairly grown 100% USA cotton</li>
<li>Heavyweight classic unisex tee</li>
</ul>
<p><strong>SIZE CHART</strong></p>
<p><strong><img alt="""" src=""https://cdn.shopify.com/s/files/1/0582/8552/3124/files/Screenshot2023-05-04at12.31.44PM_480x480.png?v=1683230559"" data-mce-src=""https://cdn.shopify.com/s/files/1/0582/8552/3124/files/Screenshot2023-05-04at12.31.44PM_480x480.png?v=1683230559""></strong></p>",Alpha Paw Prints,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirts,"ap-prints, carthook_checkout, dropship, Featured Products, growaov-collection, Men, pawpals, personalized-gifts, pet-parents, petcanva, Short Sleeve, T-Shirts, upsell",true,Color,Military Green,Size,S,,,1049-12334-101792079-55488,134.671574653,,continue,customcat,19.00,49.99,true,true,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-military-green-front-2-645bfcd7d4216.png?v=1684510755,1,Cat Dad T-Shirt | Alpha Paw,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-military-green-front-2-645bfcd7d4216.png?v=1684510755,lb,,11.49,true,true,,,true,,,active
cat-dad-tshirt,,,,,,,,,Military Green,,M,,,1049-12334-101792079-55489,155.945056806,,continue,customcat,19.00,49.99,true,true,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-royal-front-645bfcd7d4044.png?v=1684510762,2,Cat Dad T-Shirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-military-green-front-2-645bfcd7d4216.png?v=1684510755,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Military Green,,L,,,1049-12334-101792079-55490,160.390262032,,continue,customcat,19.00,49.99,true,true,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-cardinal-front-645bfcd7d3e4d.png?v=1684510773,3,Cat Dad T-Shirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-military-green-front-2-645bfcd7d4216.png?v=1684510755,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Military Green,,XL,,,1049-12334-101792079-55491,160.390262032,,continue,customcat,19.00,49.99,true,true,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-black-front-645bfcd7d3601.png?v=1684510779,4,Cat Dad T-Shirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-military-green-front-2-645bfcd7d4216.png?v=1684510755,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Military Green,,2XL,,,1049-12334-101792079-55492,254.646756518,,continue,customcat,21.00,49.99,true,true,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_ccb1530b-0490-416f-af27-1d60149fa298.png?v=1684510782,5,Cat Dad T-Shirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-military-green-front-2-645bfcd7d4216.png?v=1684510755,lb,,13.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Military Green,,3XL,,,1049-12334-101792079-55493,288.303310372,,continue,customcat,22.00,49.99,true,true,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-navy-front-2-645bfcd7d3ca2.png?v=1684510788,6,Cat Dad T-Shirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-military-green-front-2-645bfcd7d4216.png?v=1684510755,lb,,14.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Royal,,S,,,1049-9971-101792079-48286,167.8291769,,continue,customcat,19.00,49.99,true,true,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_75f91a8b-9937-4ddc-b9a9-6e1ac40eb7a8.png?v=1684510791,7,Cat Dad T-Shirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-royal-front-645bfcd7d4044.png?v=1684510762,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Royal,,M,,,1049-9971-101792079-48287,176.628868878,,continue,customcat,19.00,49.99,true,true,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_6b50ae89-bf5d-4f7f-a2ba-22cf692ac359.png?v=1684510795,8,Cat Dad T-Shirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-royal-front-645bfcd7d4044.png?v=1684510762,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Royal,,L,,,1049-9971-101792079-48288,207.518509275,,continue,customcat,19.00,49.99,true,true,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_8da18b9a-411e-41c2-b044-7eacae5aca81.png?v=1684510798,9,Cat Dad T-Shirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-royal-front-645bfcd7d4044.png?v=1684510762,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Royal,,XL,,,1049-9971-101792079-48289,207.881383171,,continue,customcat,19.00,49.99,true,true,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/DynamicImageHandler_13c3fe5e-3a7f-4455-9c64-4a9d4aaa0be2.png?v=1684510801,10,Cat Dad T-Shirt | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-royal-front-645bfcd7d4044.png?v=1684510762,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Royal,,2XL,,,1049-9971-101792079-48290,252.015920772,,continue,customcat,21.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-royal-front-645bfcd7d4044.png?v=1684510762,lb,,13.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Royal,,3XL,,,1049-9971-101792079-48291,264.580429421,,continue,customcat,22.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-royal-front-645bfcd7d4044.png?v=1684510762,lb,,14.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Cardinal,,S,,,1049-9954-101792079-48308,160.390262032,,continue,customcat,19.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-cardinal-front-645bfcd7d3e4d.png?v=1684510773,lb,,11.49,,,,,,,,
